0,255,1,none,Physical,none,----,10,0,none,contact|protect|nosketch,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1|2,normal,???,Cute
1,100,40,none,Physical,none,pound,35,0,none,contact|protect|mirror,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,normal,Normal,Tough
2,100,50,none,Physical,none,karatechop,25,0,none,contact|protect|mirror,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,2,none,normal,Fighting,Tough
3,85,15,none,Physical,none,doubleslap,10,0,none,contact|protect|mirror,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,2|5,none,none,normal,Normal,Cute
4,85,18,none,Physical,none,cometpunch,15,0,none,contact|protect|mirror|punch,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,2|5,none,none,normal,Normal,Tough
5,85,80,none,Physical,none,megapunch,20,0,none,contact|protect|mirror|punch,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,normal,Normal,Tough
6,100,40,none,Physical,none,payday,20,0,none,protect|mirror,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,normal,Normal,Clever
7,100,75,none,Physical,none,firepunch,15,0,none,contact|protect|mirror|punch,none,none,none,none,none,none,none,none,none,none,none,none,10,none,none,none,brn,none,none,none,normal,Fire,Tough
8,100,75,none,Physical,none,icepunch,15,0,none,contact|protect|mirror|punch,none,none,none,none,none,none,none,none,none,none,none,none,10,none,none,none,frz,none,none,none,normal,Ice,Beautiful
9,100,75,none,Physical,none,thunderpunch,15,0,none,contact|protect|mirror|punch,none,none,none,none,none,none,none,none,none,none,none,none,10,none,none,none,par,none,none,none,normal,Electric,Cool
10,100,40,none,Physical,none,scratch,35,0,none,contact|protect|mirror,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,normal,Normal,Tough
11,100,55,none,Physical,none,visegrip,30,0,none,contact|protect|mirror,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,normal,Normal,Tough
12,30,0,none,Physical,none,guillotine,5,0,none,contact|protect|mirror|ohko,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,normal,Normal,Cool
13,100,80,none,Special,none,razorwind,10,0,none,charge|protect|mirror,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,2,none,allAdjacentFoes,Normal,Cool
14,255,0,none,Status,none,swordsdance,20,0,none,snatch|dance,none,none,none,none,none,none,none,none,none,none,none,atk:2,none,none,none,none,none,none,none,none,self,Normal,Beautiful
